project_gid,name,n_completed,span_days,span_weeks,bulk_completion_frac,first_completed,last_completed,reliable
1208335646825701,Michael's PM Tasks,7,0.001,0.0,0.7143,2024-09-18T00:41:20.486000+00:00,2024-09-18T00:43:04.176000+00:00,False
1208470191495746,Vicki Testimonial,7,35.19,5.027,0.2857,2024-10-11T13:08:57.529000+00:00,2024-11-15T17:42:37.622000+00:00,True
1212627165986472,Borgo Laudato Si' videos,7,37.019,5.288,0.2857,2026-03-30T11:49:34.696000+00:00,2026-05-06T12:17:06.029000+00:00,True
1208255134985014,AI R&D Project (Online Pedagogy used as the baseline),6,90.07,12.867,0.5,2024-10-10T18:49:03.964000+00:00,2025-01-08T20:29:54.033000+00:00,True
1206594949252410,2024 Projects,5,45.049,6.436,0.4,2024-05-13T18:12:44.452000+00:00,2024-06-27T19:23:56.063000+00:00,True
1207868904625413,ODL Project Reflection Report,5,28.086,4.012,0.6,2024-07-26T14:12:45.200000+00:00,2024-08-23T16:16:47.359000+00:00,False
1208031566113859,FCTA - Calculus I,5,308.022,44.003,0.2,2024-09-06T13:51:31.880000+00:00,2025-07-11T14:23:44.874000+00:00,True
1209741238247552,Political Science SO Course,5,33.452,4.779,0.2,2025-03-21T13:47:30.007000+00:00,2025-04-24T00:38:17.589000+00:00,True
1208255134985033,AR Math Visualizer (Summer 2025 Pilot),4,492.572,70.367,0.5,2024-09-09T02:16:52.081000+00:00,2026-01-14T16:01:09.319000+00:00,False
1208712699269092,FINS (Research Video),4,78.97,11.281,0.5,2025-03-24T16:34:36.536000+00:00,2025-06-11T15:51:49.228000+00:00,False
1210971259338451,TEST - Fast Track LAITL,4,0.001,0.0,0.75,2025-08-05T01:21:00.309000+00:00,2025-08-05T01:22:40.969000+00:00,False
1214795652576790,Maximizing Mendoza,4,0.0,0.0,1.0,2026-05-13T19:45:12.130000+00:00,2026-05-13T19:45:19.500000+00:00,False
1208659811898209,Ascent PDF Graphic,4,2.294,0.328,0.5,2024-11-04T13:58:03.794000+00:00,2024-11-06T21:01:02.955000+00:00,False
1208659811898324,ODL Lookbook,4,180.967,25.852,0.25,2024-11-15T15:30:13.009000+00:00,2025-05-15T14:43:08.312000+00:00,False
1211654114707733,ND-IBM Tech Ethics Lab Video Content Development,3,8.026,1.147,0.6667,2025-10-06T16:46:25.210000+00:00,2025-10-14T17:23:16.591000+00:00,False
1213292120696334,NEON - R&E AI,3,0.0,0.0,1.0,2026-03-06T17:46:04.303000+00:00,2026-03-06T17:46:06.609000+00:00,False
1213393701257435,Digital Accessibility,3,72.57,10.367,0.6667,2026-03-16T14:26:22.769000+00:00,2026-05-28T04:07:35.849000+00:00,False
1209213189516064,ASCEND Engineering II,3,16.647,2.378,0.6667,2025-01-24T21:39:11.648000+00:00,2025-02-10T13:10:16.988000+00:00,False
1209484413612062,ECG Videos,2,10.978,1.568,0.5,2025-03-03T13:17:54.284000+00:00,2025-03-14T12:46:51.819000+00:00,False
1212638027964018,Ultrasound Communication Video,2,32.014,4.573,0.5,2026-04-30T14:25:03.308000+00:00,2026-06-01T14:45:52.878000+00:00,False
1204789220328740,College BouND,2,0.0,0.0,1.0,2023-06-08T18:59:11.377000+00:00,2023-06-08T18:59:11.870000+00:00,False
1207823530772159,AR Math Visualizer (Summer Sprint),2,122.14,17.449,0.5,2024-07-31T17:59:27.920000+00:00,2024-11-30T21:21:23.461000+00:00,False
1207760971753697,Test,1,0.0,0.0,1.0,2024-07-15T19:18:58.407000+00:00,2024-07-15T19:18:58.407000+00:00,False
1209803738475381,Multimedia Writing and Rhetoric,1,0.0,0.0,1.0,2025-03-26T19:18:04.646000+00:00,2025-03-26T19:18:04.646000+00:00,False
1213292120696339,NEON - POLS 30022 (Poly Sci),1,0.0,0.0,1.0,2026-03-06T17:44:06.133000+00:00,2026-03-06T17:44:06.133000+00:00,False
1207760971753720,NDIAS Teaching Fellows - Global Catholicism,1,0.0,0.0,1.0,2025-02-03T14:28:43.527000+00:00,2025-02-03T14:28:43.527000+00:00,False
1208345374594366,AI Video Series - John,1,0.0,0.0,1.0,2025-02-03T14:29:05.191000+00:00,2025-02-03T14:29:05.191000+00:00,False
