project_gid,project_name,archived,created_at,start_on,due_on,owner,team,n_tasks,first_completed,last_completed,span_days_completed,span_days_start_due,cf::Progress,cf::Weekly Meeting Status,cf::Project Point Person,cf::Priority,cf::End Date,cf::Actual time rollup,cf::Project Type,cf::Started Range,cf::Post-Project Status,cf::Type of Project,cf::Credit Bearing?,cf::Faculty Members,cf::Estimated T-Shirt Size,cf::Actual T-Shirt Size,cf::Budget,cf::Project Members,cf::Learning Design Rank,cf::Media Ranking,cf::PM Ranking,cf::Academic Department,cf::Working Group Project Status,cf::ODL Project Status,cf::Launch Date,cf::Modality,cf::Platform,cf::XR Component,cf::External Partner(s),cf::Intended Audience,cf::Project Funding Source,cf::Future Iteration,cf::Current Phase,cf::Impact Tracker Status,cf::Estimated time,cf::Stage,cf::Academic Department / Institute,cf::# of Learning Design Responses,cf::# of Media Responses,cf::# of PM Responses,cf::Actual costs (total),cf::Actual time (total),cf::Estimated costs (total),cf::Estimated time (total),cf::NDL Project Status,cf::AMP | Proj. Date to Production,cf::AMP | Actual Date to Production,cf::AMP | Proj. Date to Printer,cf::AMP | Actual Date to Printer,cf::AMP | Proj. Delivery Date,cf::AMP | Actual Delivery Date,cf::Budgeted time,cf::Hi,cf::Custom Start Date
1207907772727914,ND Elevate Updates,False,2024-07-26T15:11:39.518Z,2024-07-22,2024-09-02,Brianna Stines,ODL Team,18,2024-09-27T15:51:22.798000+00:00,2025-03-10T02:24:48.826000+00:00,164,42,Pre-Production,In Progress,"Brianna Stines, Colin Gallagher",,2025-02-14T00:00:00.000Z,1d 8h,Design + Media Project,June 2024 - Dec 2024,,Course Redesign / Refresh,No,"Jessica McManus Warnell, Kristen Collett-Schmitt",L,L,,"Michael Lerma, Brianna Stines, Yi Lu",,,,Notre Dame Deloitte Center for Ethical Leadership,,Complete,,,,,,,,,,,,,Notre Dame Deloitte Center for Ethical Leadership,,,,,,,,,,,,,,,,,
1207942229848224,National Education Opportunities Network (NEON),False,2024-08-02T14:21:51.247Z,,,Annie Conaghan,ODL Team,39,2024-08-25T22:25:35.106000+00:00,2025-12-26T17:47:19.596000+00:00,488,,,In Progress,"Sonia Howell, Brianna Stines",,,1d 22h,Signature Project,June 2024 - Dec 2024,,Inter-organizational Project,Yes,,L,,,"Lawrence Greenspun, Brianna Stines",,,,,,In Progress,,,,,,,,,,Outdated,,,,,,,0.00,51h 15m,0.00,24h 00m,,,,,,,,,,
1207942229848229,COIL,False,2024-08-02T14:26:52.647Z,,,Brianna Stines,ODL Team,0,,,,,,On Hold,Sonia Howell,,,,,,,,Yes,,M,,,,,,,,,In Progress,,,,,,,,,,Up to date,,,,,,,0.00,25h 45m,0.00,82h 00m,,,,,,,,,,
1207942229848234,Digital Learning Task Force,False,2024-08-02T14:27:32.233Z,,,Sonia Howell,ODL Team,14,2024-09-06T13:50:01.378000+00:00,2024-11-15T13:42:18.964000+00:00,70,,,In Progress,Sonia Howell,,,,Special Project,June 2024 - Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207942229848239,Teaching,False,2024-08-02T14:28:51.184Z,,,Michael Lerma,ODL Team,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207943893531837,Virtual Borders,False,2024-07-31T15:13:40.277Z,2024-07-31,2024-09-13,,ODL Team,4,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207967599155608,Online Pedagogy Course  ,False,2024-08-02T16:49:43.150Z,2024-08-01,2024-12-20,Kuangchen Hsu,ODL Team,20,2024-08-02T22:14:53.557000+00:00,2025-03-10T19:52:54.553000+00:00,220,141,Design,In Progress,"Kuangchen Hsu, Brianna Stines, Yi Lu, Sonia Howell",,2024-12-20T00:00:00.000Z,1d 15h,Design + Media Project,June 2024 - Dec 2024,,New Course Design,Yes,Brian Mulholland,S,M,,"Kuangchen Hsu, Michael Lerma, Kevin DeCloedt, KC Frye, Yi Lu, Brianna Stines",,,,Math,,Complete,,,,,,,,,,,,,Math,,,,,,,,,,,,,,,,,
1207984230724300,Media Only Project,False,2024-08-06T16:01:28.896Z,,,Michael Lerma,ODL Team,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208021370104202,Digital Transformations in Higher Education Redesign,False,2024-08-09T14:23:54.485Z,2024-08-09,2024-12-15,Yi Lu,ODL Team,1,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208031566113859,FCTA - Calculus I,False,2024-08-12T22:33:18.410Z,,,Kuangchen Hsu,ODL Team,11,2024-09-06T13:51:31.880000+00:00,2025-07-11T14:23:44.874000+00:00,308,,Analysis,In Progress,"Brianna Stines, Kuangchen Hsu",,,2h 45m,Signature Project,June 2024 - Dec 2024,,New Course Design,Yes,,XL,,,Kuangchen Hsu,,,,Math,,In Progress,,,,,,,,,,Up to date,,,Math,,,,0.00,11h 15m,0.00,72h 00m,,,,,,,,,,
